epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
3,41.8758,1.63122,1.58748,1.2507,0.48427,0.42759,0.36081,0.20032,1.31176,1.3171,1.16069,0.000958591,0.000958591,0.000958591
4,55.3811,1.5813,1.50817,1.23751,0.57992,0.49048,0.49122,0.32101,1.17977,1.22279,1.11241,0.0009406,0.0009406,0.0009406
5,68.8982,1.55595,1.41361,1.21564,0.66865,0.55616,0.53462,0.34554,1.31552,1.1505,1.10281,0.0009208,0.0009208,0.0009208
6,82.608,1.5426,1.3553,1.22153,0.63866,0.57333,0.55947,0.36852,1.14621,1.11197,1.06855,0.000901,0.000901,0.000901
7,96.2699,1.493,1.28888,1.17531,0.66876,0.51646,0.5195,0.31341,1.19585,1.12138,1.08836,0.0008812,0.0008812,0.0008812
8,109.889,1.49134,1.27057,1.18315,0.69702,0.54054,0.56519,0.3545,1.2304,1.1601,1.09286,0.0008614,0.0008614,0.0008614
9,123.482,1.48959,1.26657,1.20452,0.69351,0.53787,0.55451,0.36717,1.15131,1.03132,1.0889,0.0008416,0.0008416,0.0008416
10,137.03,1.42943,1.11708,1.14454,0.70052,0.55335,0.55143,0.35118,1.12951,1.06873,1.07845,0.0008218,0.0008218,0.0008218
11,150.641,1.40906,1.11627,1.15376,0.6722,0.47947,0.48358,0.31383,1.14358,1.26011,1.09256,0.000802,0.000802,0.000802
12,164.205,1.43176,1.11716,1.15035,0.69462,0.53926,0.57956,0.37568,1.13381,1.06555,1.05537,0.0007822,0.0007822,0.0007822
13,177.793,1.427,1.10007,1.15506,0.50808,0.59362,0.60073,0.38728,1.13106,0.98054,1.05133,0.0007624,0.0007624,0.0007624
14,191.344,1.40673,1.078,1.14279,0.71641,0.55109,0.57826,0.38436,1.07805,1.02858,1.0535,0.0007426,0.0007426,0.0007426
